Ticker,Last,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
AAPL,130.925,1.17069778,1.515,Buy,27195880,2230818079260,39.61368924,3.2994,147000,Electronic Technology
MSFT,216.665,-0.47085305,-1.025,Sell,5322442,1639872450000,35.11695435,6.257,163000,Technology Services
AMZN,3196.245,0.30172941,9.615,Sell,876101,1606686982160,95.37968196,34.8018,798000,Retail Trade
GOOGL,1736.52,0.60192454,10.39,Sell,245650,1175896252696,34.99750394,52.2107,118899,Technology Services
GOOG,1736.66,0.48720085,8.42,Sell,247887,1175614859480,34.98232792,52.2107,118899,Technology Services
FB,271.085,0.79757567,2.145,Sell,2481808,771602765497,31.10665725,8.8651,44942,Technology Services
TSLA,730.74,0.13291859,0.97,Buy,10594209,693901448040,1410.21183054,0.5662,48016,Consumer Durables
BABA,236.8,3.92802282,8.95,Sell,13417701,629683000000,33.70993207,7.0185,117600,Retail Trade
TSM,114.16,2.20232766,2.46,Buy,3076290,565490000000,34.44855148,3.1653,51297,Electronic Technology
BRK.A,342000.01,-0.44392402,-1524.99,Buy,69,534792921833,15.41459848,22564,391500,Finance
BRK.B,227.845,-0.26482819,-0.605,Buy,793270,534527186220,15.18676833,15.0427,391500,Finance
V,215.765,-0.91614622,-1.995,Strong Buy,1196195,504384840114,45.93720466,4.8922,20500,Finance
JNJ,155.69,-0.51757188,-0.81,Buy,1374591,410334009800,24.59106551,6.4512,132200,Health Technology
WMT,145.045,-1.01344435,-1.485,Sell,1612490,409865095850,20.80927359,6.9688,2200000,Retail Trade
JPM,124.56,-1.04075634,-1.31,Buy,2127445,380643975000,16.58357695,7.6769,256981,Finance
MA,347.56,-1.11809724,-3.93,Strong Buy,578775,346780327856,52.74855556,6.6937,18600,Finance
PG,136.77,-0.7618633,-1.05,Sell,1394084,339334628500,26.60166332,5.4158,99000,Consumer Non-Durables
NVDA,534.75,1.94646738,10.21,Strong Buy,2431164,331437731400,85.35050586,6.2173,13775,Electronic Technology
UNH,348.845,-0.18741059,-0.655,Buy,468955,330991461745,20.14557111,17.5849,325000,Health Services
DIS,179.2,0.85547051,1.52,Buy,1580180,324964850100,,-1.5805,203000,Consumer Services
HD,263.36,-0.21218551,-0.56,Sell,613035,283856356000,22.95606181,11.6189,415700,Retail Trade
PYPL,233.77,0.79768886,1.85,Buy,1070547,274071765435,88.4374292,2.679,23200,Technology Services
BAC,30.045,0.04995005,0.015,Buy,9539447,259910390313,14.98195838,2.0342,208000,Finance
VZ,58.6319,-0.37060323,-0.2181,Sell,3083427,242554145350,13.28914927,4.423,135000,Communications
NFLX,523.87,0.19316834,1.01,Buy,804628,231292936350,87.35682321,6.3762,8600,Consumer Services
ADBE,481.22,-0.84888944,-4.12,Sell,488520,230936726600,46.15824788,10.9534,,Technology Services
CMCSA,49.65,-1.70263314,-0.86,Sell,2386418,227668140900,22.61169308,2.2601,190000,Consumer Services
KO,52.185,-1.08984079,-0.575,Sell,3351317,224347333150,27.36088783,1.9424,86200,Consumer Non-Durables
NKE,140.49,0.27837259,0.39,Buy,775053,220620940419,79.73365204,1.8037,75400,Consumer Non-Durables
TM,151.9243,-0.8909257,-1.3657,Buy,46540,216086000000,16.4762189,9.4643,359542,Consumer Durables
T,29.655,0.73029891,0.215,Buy,13363851,211266659800,18.94223803,1.5269,246000,Communications
NVS,94.06,-0.32849422,-0.31,Buy,377581,208189000000,30.3652968,3.1345,103914,Health Technology
INTC,49.875,0.41272398,0.205,Buy,4718498,204531180000,9.77073486,5.1491,110800,Electronic Technology
PFE,36.78,-0.08149959,-0.03,Sell,5670827,204271200000,23.8375858,1.5641,88300,Health Technology
MRK,80.1,-1.06225296,-0.86,Sell,1713865,202883105700,18.06776516,4.543,71000,Health Technology
ASML,499,-0.2,-1,Buy,471000,201745000000,54.55175885,8.9578,24900,Producer Manufacturing
CRM,219.085,-0.55603468,-1.225,Sell,1618658,200760150000,57.55525367,3.9219,49000,Technology Services
PEP,143.37,-0.62383032,-0.9,Sell,843706,198214522800,29.37331643,5.0743,267000,Consumer Non-Durables
ABT,108.93,-0.16497113,-0.18,Buy,455199,193245018936,58.04792705,1.9016,107000,Health Technology
TMO,474.64,0.59768556,2.82,Strong Buy,328748,188306685200,38.63671725,12.3041,75000,Health Technology
ABBV,105.23,-0.17076179,-0.18,Buy,977116,185851026900,22.2915389,4.7442,30000,Health Technology
ORCL,62.88,-1.36470588,-0.87,Buy,1590357,185356128800,19.61729743,3.3746,135000,Technology Services
CSCO,43.535,-0.96678799,-0.425,Sell,4857940,184168853350,18.17111301,2.4718,77500,Technology Services
XOM,42.815,3.1686747,1.315,Buy,7449839,181095090900,52.98881604,0.7779,74900,Energy Minerals
AVGO,427.89,0.62791026,2.67,Buy,233417,173187103150,69.5,6.6084,21000,Electronic Technology
QCOM,151.66,2.12794613,3.16,Buy,2164152,171855450000,33.66629834,4.5887,41000,Electronic Technology
ACN,255.95,-0.19886142,-0.51,Buy,281684,169382787000,32.15960996,8.2583,506000,Technology Services
COST,377.82,-0.61291595,-2.33,Buy,457374,167521151450,38.69688909,9.7697,273000,Retail Trade
CVX,86.2,1.75894227,1.49,Buy,2115667,165843057500,,-6.1718,48200,Energy Minerals
TMUS,131.64,-0.59654157,-0.79,Buy,489803,163539194400,43.29617158,3.0859,53000,Communications
DHR,225.91,1.20055548,2.68,Buy,665318,160619791585,51.32387598,4.3999,60000,Health Technology
MCD,210.3325,0.05351536,0.1125,Sell,494957,156741549960,32.75230478,6.6026,205000,Consumer Services
LLY,163.755,-1.05438066,-1.745,Buy,288502,156640302500,27.63881613,6.1274,33625,Health Technology
MDT,115.91,-0.09481124,-0.11,Buy,482447,156044098600,44.31627196,2.6371,90000,Health Technology
PDD,183.51,10.0311788,16.73,Buy,5588471,155264000000,,-0.9225,5828,Retail Trade
SAP,129.21,-0.02321263,-0.03,Buy,213218,153808000000,28.21927888,4.6206,100330,Technology Services
TXN,162.32,0.06164468,0.1,Buy,597527,149023293990,31.01473923,5.3694,29768,Electronic Technology
NEE,74.69,0.63325249,0.47,Buy,965903,146636389500,38.9390804,1.9916,13900,Utilities
HON,208.42,0.22601587,0.47,Neutral,274869,146255921410,29.87143575,7.0353,113000,Producer Manufacturing
UPS,162.325,-0.9004884,-1.475,Sell,580570,140274583549,31.08572296,5.2931,495000,Transportation
UNP,204.31,0.64036254,1.3,Buy,285443,137890444125,26.53295275,7.8705,37483,Transportation
BMY,60.86,-0.84718149,-0.52,Sell,2015400,137483190000,,-0.1019,30000,Health Technology
LIN,259.43,0.23955798,0.62,Buy,231846,136169005051,62.72255546,4.2338,79886,Process Industries
AMGN,224.935,-0.7610518,-1.725,Sell,334808,134620759560,18.42689016,12.4861,23400,Health Technology
SHOP,1096.75,0.39820579,4.35,Sell,280474,133997134160,725.3764819,1.6262,5000,Retail Trade
HDB,71.23,1.75714286,1.23,Buy,152903,132661000000,32.92477332,2.2028,116971,Finance
AZN,50.12,-0.79176564,-0.4,Sell,4519844,131240000000,52.1870759,0.9585,70600,Health Technology
CHTR,639.02,-1.23796424,-8.01,Sell,92698,127978963125,51.83829867,12.9988,95100,Consumer Services
