Ticker,Last,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
FINMU,10.6,-0.84190833,-0.09,Strong Buy,1503439,481050000,,,,Electronic Technology
MSGM,32.3,-2.75477947,-0.915,Strong Buy,54420,563635000,,,,Technology Services
PPGHU,10.63,0.09416196,0.01,Strong Buy,379718,,,,,Finance
SLN,25.5,2,0.5,Strong Buy,2313,662097628.4211261,,-0.34868649,,Health Technology
CGEM,37.57,-1.90600522,-0.73,Strong Buy,275029,1555315346,,,,Health Technology
PZA,27.24,0.14705882,0.04,Strong Buy,429896,,,,,Miscellaneous
SIG,41.53,3.64362366,1.46,Strong Buy,3073955,2173630364,,-2.2251,26126,Retail Trade
JPST,50.81,0.01968504,0.01,Strong Buy,3668486,,,,,Miscellaneous
KNDI,9.31,5.55555556,0.49,Strong Buy,18479261,673835456,,-0.1239,594,Consumer Durables
CLAR,16.61,-0.47932894,-0.08,Strong Buy,148527,515958091,48.2788545,0.3633,500,Consumer Durables
XNET,4.72,2.38611714,0.11,Strong Buy,4174329,308319000,,-0.5403,1070,Technology Services
CDEV,2.48,9.25110132,0.21,Strong Buy,15898739,690285680,,-2.1158,195,Energy Minerals
DLPN,4.83,19.25925926,0.78,Strong Buy,2167630,31686442.2,,-0.3334,159,Consumer Services
CFX,40.74,0.51813472,0.21,Strong Buy,2441532,4825938180,,-0.049,15000,Producer Manufacturing
EVC,3.25,0,0,Strong Buy,486426,273603661.5,,-0.1998,1104,Consumer Services
SOHO,2.84,1.06761566,0.03,Strong Buy,246214,41816500,,-3.321,13,Finance
FNKO,12.54,2.36734694,0.29,Strong Buy,1457771,446571971.99999994,,-0.2657,1006,Consumer Durables
CCLP,1.23,4.23728814,0.05,Strong Buy,227540,58243329,,-1.1003,791,Industrial Services
NVAX,131.18,3.1613715,4.02,Strong Buy,3990068,8350905682,,-5.2209,165,Health Technology
TBI,20.29,3.0995935,0.61,Strong Buy,314714,719743112,,-3.7879,6200,Commercial Services
STRS,26,-1.99773841,-0.53,Strong Buy,12796,213746260,,,73,Finance
HFC,30.87,3.003003,0.9,Strong Buy,3295360,5001464790,,-2.6125,4074,Energy Minerals
LND,5.39,0.74578045,0.0399,Strong Buy,8827,317488000,10.17322685,0.5282,,Process Industries
MOV,22.42,6.40721405,1.35,Strong Buy,305676,520013964.00000006,,-5.9774,1145,Consumer Durables
ERYP,11.56,-1.78419711,-0.21,Strong Buy,3118,236049000,,-4.2106,217,Health Technology
URBN,28.44,3.75775265,1.03,Strong Buy,2990935,2781045216,,-0.0783,24000,Retail Trade
DIVA,22.2395,-0.24088063,-0.0537,Strong Buy,1,,,,,Miscellaneous
AMNB,28.61,1.13114175,0.32,Strong Buy,54583,314206464,10.3505049,2.7352,,Finance
